ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",2.451402575E7,
201402,2014,Fev,EMATER,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",,13232306000115
201402,2014,Fev,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS",,4916251000171
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,3.417508333E7,"ALIENACAO DE BENS IMOVEIS",,
201402,2014,Fev,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,3.416666667E7,"ALIENACAO DE BENS IMOVEIS",,
201402,2014,Fev,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.417508333E7,"ALIENACAO DE BENS IMOVEIS",,
201402,2014,Fev,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,16500.0,"ALIENACAO DE BENS IMOVEIS",,3280530000129
201402,2014,Fev,EMATER,Indireta,Executivo,83.33,"ALIENACAO DE BENS MOVEIS",,13232306000115
201402,2014,Fev,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,250.0,"ALIENACAO DE BENS MOVEIS",,
201402,2014,Fev,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,243666.66,"ALIENACAO DE BENS MOVEIS",,
201402,2014,Fev,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,250.0,"ALIENACAO DE BENS MOVEIS",,1409655000180
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,2.184166666E7,"ALIENACAO DE IMOVEIS RURAIS",0.0,
201402,2014,Fev,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",0.0,1409655000180
201402,2014,Fev,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,3521741000106
201402,2014,Fev,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0,
201402,2014,Fev,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,
201402,2014,Fev,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",Indireta,Executivo,5833.34,"ALIENACAO DE OUTROS BENS MOVEIS",,3537650000169
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,493833.32,"ALIENACAO DE OUTROS BENS MOVEIS",29460.0,
201402,2014,Fev,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,500.0,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,
201402,2014,Fev,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,
201402,2014,Fev,FUNEBOM,Indireta,Executivo,7666.66,"ALIENACAO DE OUTROS BENS MOVEIS",,14786724000117
201402,2014,Fev,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,3521741000106
201402,2014,Fev,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",0.0,3280530000129
201402,2014,Fev,"AG. GOIANA DE TRANSP. E OBRAS PUBLICAS",Indireta,Executivo,1166.66,ALUGUEIS,93380.02,3520933000106
201402,2014,Fev,"AGENCIA GOIANA DE ESPORTE E LAZER",Indireta,Executivo,,ALUGUEIS,14301.6,5470294000139
201402,2014,Fev,"AGÊNCIA GOIANA DE COMUNICAÇÃO",Indireta,Executivo,4166.66,ALUGUEIS,0.0,3520902000147
201402,2014,Fev,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,391333.32,ALUGUEIS,200326.0,
201402,2014,Fev,"FUNDO DE ARTE E CULT. DO EST. GO",Direta,Executivo,5500.0,ALUGUEIS,8000.0,15540894000180
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,193583.33000000002,"AMORTIZACAO DE EMPRESTIMOS",1113737.96,
201402,2014,Fev,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,50916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",22006.43,
201402,2014,Fev,"ESTADO DE GOIAS",N/A,N/A,193583.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",1113737.96,
201402,2014,Fev,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,193583.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",1113737.96,
201402,2014,Fev,FUNPRODUZIR,Direta,Executivo,,"AMORTIZAÇÃO DE EMPRESTIMOS",0.0,4352350000178
201402,2014,Fev,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",0.0,
201402,2014,Fev,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1819833.33,"ASSISTENCIA FARMACEUTICA",0.0,
201402,2014,Fev,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,10000.0,"ATENÇÃO BÁSICA",,544963000156
201402,2014,Fev,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,166.67000000000002,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",0.0,
201402,2014,Fev,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0,
201402,2014,Fev,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0,
201402,2014,Fev,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0,6881263000133
201402,2014,Fev,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,1022666.67,"BLOCO DE INVESTIMENTOS NA REDE DE SERVIÇOS DE SAUDE",,544963000156
201402,2014,Fev,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,6927250.0,"BOLSA GARANTIA FOMENTAR",,4354889000166
