ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201406,2014,Jun,EMATER,13232306000115,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",
201406,2014,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,3.416691667E7,"ALIENACAO DE BENS",
201406,2014,Jun,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS",
201406,2014,Jun,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201406,2014,Jun,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,8250.0,"ALIENACAO DE BENS IMOVEIS",
201406,2014,Jun,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,2916.67,"ALIENACAO DE BENS MOVEIS",
201406,2014,Jun,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS MOVEIS",
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",580.52
201406,2014,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",580.52
201406,2014,Jun,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,16333.32,"ALIENACAO DE IMOVEIS RURAIS",
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.324991667E7,"ALIENACAO DE IMOVEIS URBANOS",41900.0
201406,2014,Jun,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,83.33,"ALIENACAO DE IMOVEIS URBANOS",
201406,2014,Jun,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
201406,2014,Jun,"AG. GOIANA DE DEFESA AGROPECUARIA",6064227000187,Indireta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,493833.32,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,491833.32,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER LEGISLATIVO",,N/A,N/A,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201406,2014,Jun,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,477666.66000000003,"ALIENACAO DE OUTROS BENS MOVEIS",
201406,2014,Jun,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",2658753000114,Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2.324991667E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",41900.0
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",
201406,2014,Jun,"AGÊNCIA GOIANA DE COMUNICAÇÃO",3520902000147,Indireta,Executivo,4166.66,ALUGUEIS,6825.0
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,54833.340000000004,ALUGUEIS,33513.2
201406,2014,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,54833.340000000004,ALUGUEIS,33513.2
201406,2014,Jun,FUNDESP-PJ,2050330000117,Direta,Judiciário,166666.66,ALUGUEIS,241605.88
201406,2014,Jun,"FUNDO EST. CENTRO CULT. OSCAR NIEMEYER",14188263000180,Direta,Executivo,188833.34,ALUGUEIS,75240.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,193583.33000000002,"AMORTIZACAO DE EMPRESTIMOS",457884.08
201406,2014,Jun,"FUNDO ESP.DE GERACAO DE EMPREG.E RENDA",3198567000102,Direta,Executivo,8083.33,"AMORTIZACAO DE EMPRESTIMOS",
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,50916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",0.0
201406,2014,Jun,"FUNDO ESP.DE GERACAO DE EMPREG.E RENDA",3198567000102,Direta,Executivo,8083.33,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",
201406,2014,Jun,"FUNDO PART.A INDUSTRIALIZACAO-FOMENTAR",1460666000195,Direta,Executivo,50916.67,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",0.0
201406,2014,Jun,"FUNDO DE FOMENTO A MINERACAO",3609406000164,Direta,Executivo,,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",66229.24
201406,2014,Jun,"FUNDO ESTADUAL DE SAUDE- FES",544963000156,Direta,Executivo,1819833.33,"ASSISTENCIA FARMACEUTICA",4232685.08
201406,2014,Jun,"FUNDO ESPECIAL DE SAUDE - FUNESA",544963000156,Direta,Executivo,10000.0,"ATENÇÃO BÁSICA",
201406,2014,Jun,"FUNDO ESTADUAL DE SAUDE- FES",544963000156,Direta,Executivo,4026833.33,"ATENÇÃO DE MAC. AMBULATORIAL E HOSPITALAR",2893866.2800000003
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,166.67000000000002,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,166.67000000000002,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0
201406,2014,Jun,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",6881263000133,Direta,Legislativo,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,250.0,"ATUALIZAçÂO MONETÁRIA DE OUTROS TRIBUTOS DA DÍVIDA ATIVA - PRINCIPAL",195.22
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,1022666.67,"BLOCO DE INVESTIMENTOS NA REDE DE SERVIÇOS DE SAUDE",100000.0
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1022666.67,"BLOCO DE INVESTIMENTOS NA REDE DE SERVIÇOS DE SAUDE",100000.0
201406,2014,Jun,"FUNDO SOCIAL DE LOTERIA",4354889000166,Direta,Executivo,6927250.0,"BOLSA GARANTIA FOMENTAR",
201406,2014,Jun,EMATER,13232306000115,Indireta,Executivo,87500.0,"COMERCIALIZACAO DE OUTROS PRODUTOS VEGETAIS",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,87500.0,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS",0.0
201406,2014,Jun,"FUNDO FIN. PREV. MILITAR",18798607000124,Indireta,Executivo,83.33,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",
201406,2014,Jun,"FUNDO PREVIDENCIÁRIO",18867918000106,Indireta,Executivo,83.33,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,101166.67,"CONCESSÃO DE EVENTOS ESPORTIVOS",10093.5
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,4416.67,"CONCESSÕES E PERMISSÕES DO FUNDER",0.0
201406,2014,Jun,"FUNDO ESP. DE DESENVOLV. RURAL-FUNDER",985566000110,Direta,Executivo,8833.34,"CONCESSÕES E PERMISSÕES DO FUNDER",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,,"CONTRATOS DIVIDA PÚBLICA ESTADUAL INTERN",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,4.172316667E7,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",3.895437649E7
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1.22575E7,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",1.071606223E7
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,,"CONTRIBUICAO DE SERVIDOR ATIVO MILITAR",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,8.222508333E7,"CONTRIBUICAO PARA ASSISTENCIA HOSPITALAR INTEGRAL",7.712749656E7
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,8.222508333E7,"CONTRIBUICAO PARA ASSISTENCIA HOSPITALAR INTEGRAL",7.712749656E7
201406,2014,Jun,"INST.DE ASSIST.SERV.PUB. ESTADO DE GOIAS",1246693000160,Indireta,Executivo,8.222508333E7,"CONTRIBUICAO PARA ASSISTENCIA HOSPITALAR INTEGRAL",7.712749656E7
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,191750.0,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",14457.460000000001
201406,2014,Jun,"FUNDO PREVIDENCIÁRIO",18867918000106,Indireta,Executivo,83.33,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",0.0
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",0.0
201406,2014,Jun,"GOIÁS PREVIDÊNCIA",11991625000189,Indireta,Executivo,,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,1500000.0,"CONTRIBUICOES DE PENSIONISTA CIVIL",1868502.21
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,1500000.0,"CONTRIBUICOES DE PENSIONISTA CIVIL",1868502.21
201406,2014,Jun,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,1493333.33,"CONTRIBUICOES DE PENSIONISTA CIVIL",1668032.8900000001
201406,2014,Jun,"GOIÁS PREVIDÊNCIA",11991625000189,Indireta,Executivo,,"CONTRIBUICOES DE PENSIONISTA CIVIL",200469.32
201406,2014,Jun,"FUNDO FIN. PREV. MILITAR",18798607000124,Indireta,Executivo,208333.33000000002,"CONTRIBUICOES DE PENSIONISTA MILITAR",233056.53
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,1499666.67,"CONTRIBUICOES DE SERVID. INATIVO MILITAR",1448541.32
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,2833333.33,"CONTRIBUICOES DE SERVIDOR INATIVO CIVIL",3751549.2
201406,2014,Jun,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",17850814000118,Direta,Executivo,166.67000000000002,"CONTRIBUICOES SOCIAIS",
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",0.0
201406,2014,Jun,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,3.464041667E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",6.401173915E7
201406,2014,Jun,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1.416683334E7,"CONTRIBUIÇÃO PATRONAL - ATIVO MILITAR",2.143336973E7
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,4.897408333E7,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO",8.778720249E7
201406,2014,Jun,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,,"CONTRIBUIÇÕES PARA REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO",305377.67
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,4.897408333E7,"CONTRIBUIÇÕES SOCIAIS",8.778720249E7
201406,2014,Jun,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,3.480708333E7,"CONTRIBUIÇÕES SOCIAIS",6.551876989E7
201406,2014,Jun,"GOIÁS PREVIDÊNCIA",11991625000189,Indireta,Executivo,,"CONTRIBUIÇÕES SOCIAIS",305377.67
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,8960166.67,"COTA - PARTE DA CONTRIBUICAO DO SALARIO EDUCACAO",8145211.45
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,8960166.67,"COTA - PARTE DA CONTRIBUICAO DO SALARIO EDUCACAO",8145211.45
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,,"COTA PARTE DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMINIO ECONOMICO - CIDE",0.0
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,,"COTA PARTE DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMINIO ECONOMICO - CIDE",0.0
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,7214333.33,"COTA PARTE DE COMPENSAÇÃO FINANCEIRA DE RECURSOS HÍDRICOS",6087133.21
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,2129750.0,"COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS",1098616.56
201406,2014,Jun,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,664916.67,"COTA-PARTE DO FUNDO ESPECIAL DO PETROLEO - FEP",715046.47
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,5576583.33,"COTA-PARTE DO IMPOSTO S/ PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS",8846032.02
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,83.33,"COTA-PARTE DO IMPOSTO S/OPERACOES DE CREDITO, CAMBIO E SEGURO OU RELATIVAS A TITULOS OU VALORES MOBILIARIOS - COMERCIALI",177.21
201406,2014,Jun,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,18000.0,"Credito Especial de Investimento- Portege Goias- Lei 15.454/2005",0.0
201406,2014,Jun,"ESTADO DE GOIAS",,N/A,N/A,-4.9930550001E8,"DEDUCAO DA RECEITA TRIBUTARIA",0.0
201406,2014,Jun,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,-4.6492766667E8,"DEDUCAO DA RECEITA TRIBUTARIA",0.0
201406,2014,Jun,FUNPRODUZIR,4352350000178,Direta,Executivo,-2421833.33,"DEDUCAO DA RECEITA TRIBUTARIA",0.0
